feature,mode,holiday,country,date,year
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2005-07-12,2005
holiday,auto,Summer Bank Holiday [Scotland],UK,2005-08-01,2005
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2005-08-29,2005
holiday,auto,St. Andrew's Day [Scotland],UK,2005-11-30,2005
holiday,auto,Christmas Day,UK,2005-12-25,2005
holiday,auto,Boxing Day,UK,2005-12-26,2005
holiday,auto,Christmas Day (Observed),UK,2005-12-27,2005
holiday,auto,New Year's Day,UK,2006-01-01,2006
holiday,auto,New Year Holiday [Scotland],UK,2006-01-02,2006
holiday,auto,New Year's Day (Observed),UK,2006-01-02,2006
holiday,auto,New Year Holiday [Scotland] (Observed),UK,2006-01-03,2006
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2006-03-17,2006
holiday,auto,Good Friday,UK,2006-04-14,2006
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2006-04-17,2006
holiday,auto,May Day,UK,2006-05-01,2006
holiday,auto,Spring Bank Holiday,UK,2006-05-29,2006
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2006-07-12,2006
holiday,auto,Summer Bank Holiday [Scotland],UK,2006-08-07,2006
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2006-08-28,2006
holiday,auto,St. Andrew's Day [Scotland],UK,2006-11-30,2006
holiday,auto,Christmas Day,UK,2006-12-25,2006
holiday,auto,Boxing Day,UK,2006-12-26,2006
holiday,auto,New Year's Day,UK,2007-01-01,2007
holiday,auto,New Year Holiday [Scotland],UK,2007-01-02,2007
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2007-03-17,2007
holiday,auto,St. Patrick's Day [Northern Ireland] (Observed),UK,2007-03-19,2007
holiday,auto,Good Friday,UK,2007-04-06,2007
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2007-04-09,2007
holiday,auto,May Day,UK,2007-05-07,2007
holiday,auto,Spring Bank Holiday,UK,2007-05-28,2007
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2007-07-12,2007
holiday,auto,Summer Bank Holiday [Scotland],UK,2007-08-06,2007
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2007-08-27,2007
holiday,auto,St. Andrew's Day [Scotland],UK,2007-11-30,2007
holiday,auto,Christmas Day,UK,2007-12-25,2007
holiday,auto,Boxing Day,UK,2007-12-26,2007
holiday,auto,New Year's Day,UK,2008-01-01,2008
holiday,auto,New Year Holiday [Scotland],UK,2008-01-02,2008
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2008-03-17,2008
holiday,auto,Good Friday,UK,2008-03-21,2008
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2008-03-24,2008
holiday,auto,May Day,UK,2008-05-05,2008
holiday,auto,Spring Bank Holiday,UK,2008-05-26,2008
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2008-07-12,2008
holiday,auto,Summer Bank Holiday [Scotland],UK,2008-08-04,2008
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2008-08-25,2008
holiday,auto,St. Andrew's Day [Scotland],UK,2008-11-30,2008
holiday,auto,Christmas Day,UK,2008-12-25,2008
holiday,auto,Boxing Day,UK,2008-12-26,2008
holiday,auto,New Year's Day,UK,2009-01-01,2009
holiday,auto,New Year Holiday [Scotland],UK,2009-01-02,2009
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2009-03-17,2009
holiday,auto,Good Friday,UK,2009-04-10,2009
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2009-04-13,2009
holiday,auto,May Day,UK,2009-05-04,2009
holiday,auto,Spring Bank Holiday,UK,2009-05-25,2009
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2009-07-12,2009
holiday,auto,Summer Bank Holiday [Scotland],UK,2009-08-03,2009
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2009-08-31,2009
holiday,auto,St. Andrew's Day [Scotland],UK,2009-11-30,2009
holiday,auto,Christmas Day,UK,2009-12-25,2009
holiday,auto,Boxing Day,UK,2009-12-26,2009
holiday,auto,Boxing Day (Observed),UK,2009-12-28,2009
holiday,auto,New Year's Day,UK,2010-01-01,2010
holiday,auto,New Year Holiday [Scotland],UK,2010-01-02,2010
holiday,auto,New Year Holiday [Scotland] (Observed),UK,2010-01-04,2010
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2010-03-17,2010
holiday,auto,Good Friday,UK,2010-04-02,2010
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2010-04-05,2010
holiday,auto,May Day,UK,2010-05-03,2010
holiday,auto,Spring Bank Holiday,UK,2010-05-31,2010
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2010-07-12,2010
holiday,auto,Summer Bank Holiday [Scotland],UK,2010-08-02,2010
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2010-08-30,2010
holiday,auto,St. Andrew's Day [Scotland],UK,2010-11-30,2010
holiday,auto,Christmas Day,UK,2010-12-25,2010
holiday,auto,Boxing Day,UK,2010-12-26,2010
holiday,auto,Christmas Day (Observed),UK,2010-12-27,2010
holiday,auto,Boxing Day (Observed),UK,2010-12-28,2010
holiday,auto,New Year's Day,UK,2011-01-01,2011
holiday,auto,New Year Holiday [Scotland],UK,2011-01-02,2011
holiday,auto,New Year's Day (Observed),UK,2011-01-03,2011
holiday,auto,New Year Holiday [Scotland] (Observed),UK,2011-01-04,2011
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2011-03-17,2011
holiday,auto,Good Friday,UK,2011-04-22,2011
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2011-04-25,2011
holiday,auto,Wedding of William and Catherine,UK,2011-04-29,2011
holiday,auto,May Day,UK,2011-05-02,2011
holiday,auto,Spring Bank Holiday,UK,2011-05-30,2011
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2011-07-12,2011
holiday,auto,Summer Bank Holiday [Scotland],UK,2011-08-01,2011
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2011-08-29,2011
holiday,auto,St. Andrew's Day [Scotland],UK,2011-11-30,2011
holiday,auto,Christmas Day,UK,2011-12-25,2011
holiday,auto,Boxing Day,UK,2011-12-26,2011
holiday,auto,Christmas Day (Observed),UK,2011-12-27,2011
holiday,auto,New Year's Day,UK,2012-01-01,2012
holiday,auto,New Year Holiday [Scotland],UK,2012-01-02,2012
holiday,auto,New Year's Day (Observed),UK,2012-01-02,2012
holiday,auto,New Year Holiday [Scotland] (Observed),UK,2012-01-03,2012
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2012-03-17,2012
holiday,auto,St. Patrick's Day [Northern Ireland] (Observed),UK,2012-03-19,2012
holiday,auto,Good Friday,UK,2012-04-06,2012
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2012-04-09,2012
holiday,auto,May Day,UK,2012-05-07,2012
holiday,auto,Spring Bank Holiday,UK,2012-06-04,2012
holiday,auto,Diamond Jubilee of Elizabeth II,UK,2012-06-05,2012
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2012-07-12,2012
holiday,auto,Summer Bank Holiday [Scotland],UK,2012-08-06,2012
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2012-08-27,2012
holiday,auto,St. Andrew's Day [Scotland],UK,2012-11-30,2012
holiday,auto,Christmas Day,UK,2012-12-25,2012
holiday,auto,Boxing Day,UK,2012-12-26,2012
holiday,auto,New Year's Day,UK,2013-01-01,2013
holiday,auto,New Year Holiday [Scotland],UK,2013-01-02,2013
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2013-03-17,2013
holiday,auto,St. Patrick's Day [Northern Ireland] (Observed),UK,2013-03-18,2013
holiday,auto,Good Friday,UK,2013-03-29,2013
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2013-04-01,2013
holiday,auto,May Day,UK,2013-05-06,2013
holiday,auto,Spring Bank Holiday,UK,2013-05-27,2013
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2013-07-12,2013
holiday,auto,Summer Bank Holiday [Scotland],UK,2013-08-05,2013
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2013-08-26,2013
holiday,auto,St. Andrew's Day [Scotland],UK,2013-11-30,2013
holiday,auto,Christmas Day,UK,2013-12-25,2013
holiday,auto,Boxing Day,UK,2013-12-26,2013
holiday,auto,New Year's Day,UK,2014-01-01,2014
holiday,auto,New Year Holiday [Scotland],UK,2014-01-02,2014
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2014-03-17,2014
holiday,auto,Good Friday,UK,2014-04-18,2014
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2014-04-21,2014
holiday,auto,May Day,UK,2014-05-05,2014
holiday,auto,Spring Bank Holiday,UK,2014-05-26,2014
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2014-07-12,2014
holiday,auto,Summer Bank Holiday [Scotland],UK,2014-08-04,2014
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2014-08-25,2014
holiday,auto,St. Andrew's Day [Scotland],UK,2014-11-30,2014
holiday,auto,Christmas Day,UK,2014-12-25,2014
holiday,auto,Boxing Day,UK,2014-12-26,2014
holiday,auto,New Year's Day,UK,2015-01-01,2015
holiday,auto,New Year Holiday [Scotland],UK,2015-01-02,2015
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2015-03-17,2015
holiday,auto,Good Friday,UK,2015-04-03,2015
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2015-04-06,2015
holiday,auto,May Day,UK,2015-05-04,2015
holiday,auto,Spring Bank Holiday,UK,2015-05-25,2015
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2015-07-12,2015
holiday,auto,Summer Bank Holiday [Scotland],UK,2015-08-03,2015
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2015-08-31,2015
holiday,auto,St. Andrew's Day [Scotland],UK,2015-11-30,2015
holiday,auto,Christmas Day,UK,2015-12-25,2015
holiday,auto,Boxing Day,UK,2015-12-26,2015
holiday,auto,Boxing Day (Observed),UK,2015-12-28,2015
holiday,auto,New Year's Day,UK,2016-01-01,2016
holiday,auto,New Year Holiday [Scotland],UK,2016-01-02,2016
holiday,auto,New Year Holiday [Scotland] (Observed),UK,2016-01-04,2016
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2016-03-17,2016
holiday,auto,Good Friday,UK,2016-03-25,2016
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2016-03-28,2016
holiday,auto,May Day,UK,2016-05-02,2016
holiday,auto,Spring Bank Holiday,UK,2016-05-30,2016
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2016-07-12,2016
holiday,auto,Summer Bank Holiday [Scotland],UK,2016-08-01,2016
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2016-08-29,2016
holiday,auto,St. Andrew's Day [Scotland],UK,2016-11-30,2016
holiday,auto,Christmas Day,UK,2016-12-25,2016
holiday,auto,Boxing Day,UK,2016-12-26,2016
holiday,auto,Christmas Day (Observed),UK,2016-12-27,2016
holiday,auto,New Year's Day,UK,2017-01-01,2017
holiday,auto,New Year Holiday [Scotland],UK,2017-01-02,2017
holiday,auto,New Year's Day (Observed),UK,2017-01-02,2017
holiday,auto,New Year Holiday [Scotland] (Observed),UK,2017-01-03,2017
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2017-03-17,2017
holiday,auto,Good Friday,UK,2017-04-14,2017
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2017-04-17,2017
holiday,auto,May Day,UK,2017-05-01,2017
holiday,auto,Spring Bank Holiday,UK,2017-05-29,2017
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2017-07-12,2017
holiday,auto,Summer Bank Holiday [Scotland],UK,2017-08-07,2017
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2017-08-28,2017
holiday,auto,St. Andrew's Day [Scotland],UK,2017-11-30,2017
holiday,auto,Christmas Day,UK,2017-12-25,2017
holiday,auto,Boxing Day,UK,2017-12-26,2017
holiday,auto,New Year's Day,UK,2018-01-01,2018
holiday,auto,New Year Holiday [Scotland],UK,2018-01-02,2018
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2018-03-17,2018
holiday,auto,St. Patrick's Day [Northern Ireland] (Observed),UK,2018-03-19,2018
holiday,auto,Good Friday,UK,2018-03-30,2018
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2018-04-02,2018
holiday,auto,May Day,UK,2018-05-07,2018
holiday,auto,Spring Bank Holiday,UK,2018-05-28,2018
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2018-07-12,2018
holiday,auto,Summer Bank Holiday [Scotland],UK,2018-08-06,2018
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2018-08-27,2018
holiday,auto,St. Andrew's Day [Scotland],UK,2018-11-30,2018
holiday,auto,Christmas Day,UK,2018-12-25,2018
holiday,auto,Boxing Day,UK,2018-12-26,2018
holiday,auto,New Year's Day,UK,2019-01-01,2019
holiday,auto,New Year Holiday [Scotland],UK,2019-01-02,2019
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2019-03-17,2019
holiday,auto,St. Patrick's Day [Northern Ireland] (Observed),UK,2019-03-18,2019
holiday,auto,Good Friday,UK,2019-04-19,2019
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2019-04-22,2019
holiday,auto,May Day,UK,2019-05-06,2019
holiday,auto,Spring Bank Holiday,UK,2019-05-27,2019
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2019-07-12,2019
holiday,auto,Summer Bank Holiday [Scotland],UK,2019-08-05,2019
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2019-08-26,2019
holiday,auto,St. Andrew's Day [Scotland],UK,2019-11-30,2019
holiday,auto,Christmas Day,UK,2019-12-25,2019
holiday,auto,Boxing Day,UK,2019-12-26,2019
holiday,auto,New Year's Day,UK,2020-01-01,2020
holiday,auto,New Year Holiday [Scotland],UK,2020-01-02,2020
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2020-03-17,2020
holiday,auto,Good Friday,UK,2020-04-10,2020
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2020-04-13,2020
holiday,auto,May Day,UK,2020-05-08,2020
holiday,auto,Spring Bank Holiday,UK,2020-05-25,2020
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2020-07-12,2020
holiday,auto,Summer Bank Holiday [Scotland],UK,2020-08-03,2020
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2020-08-31,2020
holiday,auto,St. Andrew's Day [Scotland],UK,2020-11-30,2020
holiday,auto,Christmas Day,UK,2020-12-25,2020
holiday,auto,Boxing Day,UK,2020-12-26,2020
holiday,auto,Boxing Day (Observed),UK,2020-12-28,2020
holiday,auto,New Year's Day,UK,2021-01-01,2021
holiday,auto,New Year Holiday [Scotland],UK,2021-01-02,2021
holiday,auto,New Year Holiday [Scotland] (Observed),UK,2021-01-04,2021
