parameter,mean,sd,median,q05,q95,rhat,ess_bulk,ess_tail
beta_media[12],0.23033430160551568,0.31404512470411944,0.11333538880556174,0.007202612139590844,0.8456796841092972,1.0022227472942604,322.36478666469213,407.81098106502867
beta_media[13],0.128646605594279,0.03648686884716191,0.1247442646210482,0.07801995258588362,0.19868430750289784,1.0055535428959006,323.69653497063047,237.38718758834892
beta_media[14],0.23544370855987423,0.3053539364118021,0.10066717264346559,0.009285358931813132,0.9166412266589687,1.0314814670427157,166.22208102672852,197.4283087069168
beta_media[15],0.32744146841238464,0.2981813122560774,0.23561046494416737,0.039165661285318946,0.92195028882649,0.9981306013761165,221.57828255820255,311.798830695011
beta_media[16],0.35976870871741584,0.2977843288684627,0.28173276385833385,0.06686743678997978,0.9614066336989788,1.0006757582397319,168.55104486222544,314.80836712680406
beta_media[17],0.23644836243385958,0.29531700709032527,0.12394794652671426,0.006954569747075513,0.910601209855784,1.0360902634398543,104.96094441707574,298.0740245970742
beta_media[18],0.23746719470214356,0.29606291156211567,0.12950193021221598,0.008277265783896823,0.8235284135710736,1.002763091389224,257.3561190581157,218.97979056717108
alpha[1],0.13877335054146894,0.09704169265289506,0.12291511012855803,0.00828021437680888,0.31674106268794056,1.0181092052510605,177.5925453405418,120.20207280094694
alpha[2],0.3748762894330192,0.19347585635759185,0.3732297911163964,0.05879101604531543,0.6805939184703294,1.0090294683001964,439.77581726020753,134.37032025306252
alpha[3],0.1744280023135968,0.14738374278839236,0.14193528092337168,0.007955792293563102,0.458567226226051,1.001932975099879,624.8303012430662,245.97230199530418
alpha[4],0.180757632874159,0.12976824929565267,0.15460913200875848,0.017507317300388996,0.43240387903932426,1.0073223740241923,465.6222200302821,230.59634925541417
alpha[5],0.24214107795561554,0.18516038222730669,0.208603875342236,0.0139691092669345,0.5962248274846189,1.001082069316004,372.2821119521108,212.23502817861285
alpha[6],0.22386240720772035,0.17605739718884547,0.18146755305591328,0.012229241210085444,0.5697756044969838,1.0006369818456728,538.2202324177206,231.9002360732462
alpha[7],0.12590145550454016,0.08902477766156412,0.11127879495521015,0.01464567676035417,0.2876795569013152,1.0061001513484484,643.1047334601498,326.54798048325557
alpha[8],0.3319744009536131,0.21069168921460135,0.312328870903241,0.030893932442175687,0.6897242905893813,1.001700557716238,747.0633736050291,366.197043249834
alpha[9],0.160346436146913,0.13565551129006773,0.12420808320060853,0.009455218446682205,0.4277869019832984,1.002505511393243,788.5427599507465,382.68186973209316
alpha[10],0.18894990853705945,0.15377784796675578,0.152310312766125,0.01818517455692643,0.48210432809828213,1.0005686544811667,553.9299635636373,288.47850907014174
alpha[11],0.2452807430538797,0.1976140691616433,0.19146768624537142,0.012670217265335994,0.6217307335801349,1.007484377337227,1078.2330674571547,405.2067864369247
alpha[12],0.2466240651677226,0.20446753348677071,0.19896715652248248,0.015552598286392657,0.6589834965792956,1.0075239633464164,436.2562558478939,391.9819522265451
alpha[13],0.13673038331244552,0.10072259560831426,0.11583717596902635,0.010781105153885815,0.3327744415591202,1.0145385744647517,557.0559771806153,258.63202496402545
alpha[14],0.33624951899725114,0.19692230923636897,0.3294339803008439,0.0463787915283254,0.6789681833213317,1.005516423809451,501.8417005277488,401.11424773428246
alpha[15],0.16331733109894112,0.13565041510426298,0.12603726517097552,0.009871523934940236,0.4219741964479968,0.9982978392731013,546.7042850195371,173.46144730899897
alpha[16],0.17658717963903592,0.1315835020320114,0.14755061114481235,0.020048019977084698,0.42698499424042613,1.0136594861167159,649.044743748086,460.70947617846815
alpha[17],0.22798322442017405,0.1797339811343971,0.18448164059086875,0.017085424428718354,0.6207128946290288,1.0020724127095773,696.96994787738,250.40729491619095
