observation,date,panel,geo,residual
214,2023-03-13,DE,DE,-147726.71068685874
215,2023-03-20,DE,DE,-204762.27292912314
216,2023-03-27,DE,DE,66586.67728674412
217,2023-04-03,DE,DE,27694.73945984617
218,2023-04-10,DE,DE,-166888.35495441942
219,2023-04-17,DE,DE,-145057.9131863243
220,2023-04-24,DE,DE,-10137.447056416655
221,2023-05-01,DE,DE,67589.55061501334
222,2023-05-08,DE,DE,-45110.20901978738
223,2023-05-15,DE,DE,-216852.06169761415
224,2023-05-22,DE,DE,10135.653002030682
225,2023-05-29,DE,DE,153179.29477032926
226,2023-06-05,DE,DE,9572.285321498755
227,2023-06-12,DE,DE,523142.2791690943
228,2023-06-19,DE,DE,-133744.8776451177
229,2023-06-26,DE,DE,-30875.00926413783
230,2023-07-03,DE,DE,-95304.58780409815
231,2023-07-10,DE,DE,-199953.83291583497
232,2023-07-17,DE,DE,-201292.55323757103
233,2023-07-24,DE,DE,-97952.26289901033
234,2023-07-31,DE,DE,870442.7565135439
235,2023-08-07,DE,DE,67002.26323950978
236,2023-08-14,DE,DE,-36163.01069825946
237,2023-08-21,DE,DE,-160348.72451042698
238,2023-08-28,DE,DE,-137505.89650580776
239,2023-09-04,DE,DE,-177302.4841825763
240,2023-09-11,DE,DE,-111674.26054493175
241,2023-09-18,DE,DE,74259.67982090544
242,2023-09-25,DE,DE,154750.55642845773
243,2023-10-02,DE,DE,39955.132933984976
244,2023-10-09,DE,DE,145689.94183836505
245,2023-10-16,DE,DE,-120521.63226651167
246,2023-10-23,DE,DE,153263.37969166134
247,2023-10-30,DE,DE,-18398.52421383839
248,2023-11-06,DE,DE,-162387.55478701484
249,2023-11-13,DE,DE,241314.72743335553
250,2023-11-20,DE,DE,241339.47752939863
251,2023-11-27,DE,DE,364736.5431591852
252,2023-12-04,DE,DE,-70929.44835006585
253,2023-12-11,DE,DE,-176720.80607844144
254,2023-12-18,DE,DE,-561310.1738549047
255,2023-12-25,DE,DE,34107.87769937888
256,2024-01-01,DE,DE,-516490.5150106461
257,2024-01-08,DE,DE,-40970.90546989301
258,2024-01-15,DE,DE,-19011.279663995374
259,2024-01-22,DE,DE,27742.01460845489
260,2024-01-29,DE,DE,369829.9540656279
261,2024-02-05,DE,DE,260380.132865604
262,2024-02-12,DE,DE,226612.92086293874
263,2024-02-19,DE,DE,104613.44274620619
264,2024-02-26,DE,DE,-63840.46962567931
265,2024-03-04,DE,DE,-167244.42012798786
266,2024-03-11,DE,DE,803661.9547482268
267,2024-03-18,DE,DE,-138809.1647536424
268,2024-03-25,DE,DE,-293602.6415750773
269,2024-04-01,DE,DE,-84243.36664497573
270,2024-04-08,DE,DE,-64515.824439051095
271,2024-04-15,DE,DE,39379.98500323575
272,2024-04-22,DE,DE,-4852.407784176758
273,2024-04-29,DE,DE,160635.61780020827
274,2024-05-06,DE,DE,401672.95839908766
275,2024-05-13,DE,DE,-402568.95779455313
276,2024-05-20,DE,DE,-45255.97883806797
277,2024-05-27,DE,DE,-199001.91591410455
278,2024-06-03,DE,DE,-322088.6136267609
279,2024-06-10,DE,DE,-87507.85604414158
280,2024-06-17,DE,DE,93074.2847090473
281,2024-06-24,DE,DE,-170558.52301889774
282,2024-07-01,DE,DE,709715.0729123936
283,2024-07-08,DE,DE,-209571.44936213153
284,2024-07-15,DE,DE,949421.0913447056
285,2024-07-22,DE,DE,-345683.6953025218
286,2024-07-29,DE,DE,-106255.45623801067
